datetime,X,Y,Z,lat,lon,elevation,ascending,orbit
2022-10-10 19:49:00+00:00,1716.8665944408929,-1982.7953407067619,7099.900731881776,69.91021426632098,-5.7264391511972494,1209.5724357381368,True,0
2022-10-10 19:49:05+00:00,1741.7857391131238,-2005.975406727465,7087.336493436727,69.63827995225802,-5.664203341274339,1209.532297918299,True,0
2022-10-10 19:49:10+00:00,1766.665010133493,-2029.1095520278784,7074.609636471886,69.3662986468733,-5.6040646583003895,1209.4916867446718,True,0
2022-10-10 19:49:15+00:00,1791.5038376555844,-2052.1972466633656,7061.720451753301,69.09427174800453,-5.545941470343904,1209.4506070871046,True,0
2022-10-10 19:49:20+00:00,1816.3016527458556,-2075.237961739936,7048.669233761337,68.82220057777101,-5.4897563059477745,1209.4090638699026,True,0
2022-10-10 19:49:25+00:00,1841.057887397728,-2098.231169427153,7035.456280683759,68.55008638740108,-5.435435593149919,1209.3670620713992,True,0
2022-10-10 19:49:30+00:00,1865.7719745430281,-2121.1763429685057,7022.08189441009,68.27793036172831,-5.382909417815751,1209.3246067234516,True,0
2022-10-10 19:49:35+00:00,1890.443348065863,-2144.072956695188,7008.546380524294,68.00573362332493,-5.332111299684636,1209.281702910986,True,0
2022-10-10 19:49:40+00:00,1915.0714428154147,-2166.920486036825,6994.850048298527,67.73349723635813,-5.282977984620106,1209.2383557715182,True,0
2022-10-10 19:49:45+00:00,1939.6556946178266,-2189.7184075334776,6980.993210686673,67.46122221016711,-5.235449251713219,1209.1945704946756,True,0
2022-10-10 19:49:50+00:00,1964.1955402908732,-2212.4661988488183,6966.976184316643,67.1889095025643,-5.189467734008142,1209.1503523216866,True,0
2022-10-10 19:49:55+00:00,1988.6904176552916,-2235.1633387807565,6952.799289484335,66.91656002293783,-5.144978751796972,1209.105706544932,True,0
2022-10-10 19:50:00+00:00,2013.139765547755,-2257.809307273645,6938.462850146475,66.64417463512103,-5.101930157382253,1209.060638507389,True,0
2022-10-10 19:50:05+00:00,2037.5430238347692,-2280.40358543067,6923.967193913133,66.37175416005923,-5.0602721904829595,1209.0151536021806,True,0
2022-10-10 19:50:10+00:00,2061.899633424116,-2302.945655524789,6909.312652041239,66.0992993783171,-5.019957343404694,1208.96925727204,True,0
2022-10-10 19:50:15+00:00,2086.2090362783006,-2325.435001011585,6894.499559426834,65.82681103239638,-4.980940235203619,1208.9229550088055,True,0
2022-10-10 19:50:20+00:00,2110.4706754267627,-2347.871106540148,6879.528254598236,65.55428982891802,-4.94317749420422,1208.8762523528965,True,0
2022-10-10 19:50:25+00:00,2134.6839949800024,-2370.2534579658404,6864.399079707916,65.28173644063959,-4.9066276481573725,1208.8291548928073,True,0
2022-10-10 19:50:30+00:00,2158.848440139701,-2392.5815423607587,6849.112380526228,65.00915150837726,-4.871251021544912,1208.781668264553,True,0
2022-10-10 19:50:35+00:00,2182.9634572143286,-2414.854848026806,6833.668506432552,64.73653564275955,-4.837009639441241,1208.7337981511766,True,0
2022-10-10 19:50:40+00:00,2207.0284936299763,-2437.0728645068093,6818.067810408399,64.46388942590626,-4.803867137474061,1208.6855502821747,True,0
2022-10-10 19:50:45+00:00,2231.0429979429805,-2459.2350825956823,6802.310649029907,64.19121341299287,-4.77178867742052,1208.6369304329767,True,0
2022-10-10 19:50:50+00:00,2255.006419853713,-2481.3409943533284,6786.39738245924,63.91850813370038,-4.740740868072667,1208.5879444243985,True,0
2022-10-10 19:50:55+00:00,2278.9182102178006,-2503.3900931150665,6770.328374437597,63.64577409360474,-4.710691690923671,1208.538598122092,True,0
2022-10-10 19:51:00+00:00,2302.7778210595357,-2525.381873503838,6754.103992276758,63.37301177545911,-4.681610430415782,1208.488897435982,True,0
2022-10-10 19:51:05+00:00,2326.58470558483,-2547.3158314419675,6737.724606850869,63.100221640403554,-4.653467608366052,1208.4388483197233,True,0
2022-10-10 19:51:10+00:00,2350.3383181920362,-2569.191464161979,6721.190592589161,62.8274041291202,-4.626234922309217,1208.3884567701257,True,0
2022-10-10 19:51:15+00:00,2374.0381144863472,-2591.0082702192835,6704.502327466687,62.5545596628888,-4.599885187492042,1208.337728826576,True,0
2022-10-10 19:51:20+00:00,2397.6835512912676,-2612.765749502515,6687.660192996844,62.28168864461089,-4.574392282250522,1208.2866705705005,True,0
2022-10-10 19:51:25+00:00,2421.274086661124,-2634.4634032457307,6670.664574222717,62.008791459757454,-4.549731096547571,1208.2352881247707,True,0
2022-10-10 19:51:30+00:00,2444.8091798935957,-2656.1007340396577,6653.515859708679,61.73586847726761,-4.525877483488006,1208.1835876530927,True,0
2022-10-10 19:51:35+00:00,2468.2882915428345,-2677.677245843294,6636.2144415315715,61.46292005039075,-4.50280821356675,1208.1315753594781,True,0
2022-10-10 19:51:40+00:00,2491.7108834301057,-2699.192443995112,6618.7607152728,61.18994651749734,-4.480500931504182,1208.0792574876189,True,0
2022-10-10 19:51:45+00:00,2515.0764186584006,-2720.645835224412,6601.155080008838,60.91694820282113,-4.458934115493025,1208.0266403203013,True,0
2022-10-10 19:51:50+00:00,2538.384361622469,-2742.036927662468,6583.39793830343,60.64392541718756,-4.438087038691673,1207.9737301788277,True,0
2022-10-10 19:51:55+00:00,2561.634178023222,-2763.3652308553087,6565.4896961973245,60.37087845866668,-4.4179397328468175,1207.920533422385,True,0
2022-10-10 19:52:00+00:00,2584.825334878648,-2784.6302557724057,6547.430763200997,60.09780761323609,-4.398472953863381,1207.8670564474767,True,0
