RequestPerRound \ throughput,SSR,GREEDY,QCAST,REPS
1,0.13395763656633225,0.05217391304347826,0.07826086956521738,0.04776119402985075
2,0.2100596760443308,0.06376811594202898,0.08985507246376812,0.043478260869565216
3,0.25507246376811593,0.11304347826086958,0.16521739130434782,0.0927536231884058
4,0.272463768115942,0.12463768115942031,0.2,0.1225916453537937
5,0.30434782608695654,0.1826086956521739,0.255072463768116,0.1565217391304348
6,0.3739130434782608,0.2318840579710145,0.31014492753623185,0.22318840579710147
