time,station1 name,station1 region,station2 name,station2 region,satellite
79,Bordeaux,1,Liverpool,5,4
80,Marseille,1,ReggioEmilia,4,0
80,Bordeaux,1,Liverpool,5,4
81,Marseille,1,ReggioEmilia,4,0
81,Bordeaux,1,Liverpool,5,4
82,Marseille,1,ReggioEmilia,4,0
82,Bordeaux,1,Liverpool,5,4
83,Marseille,1,ReggioEmilia,4,0
83,Bordeaux,1,Liverpool,5,4
84,Marseille,1,ReggioEmilia,4,0
84,Bordeaux,1,Newbridge,3,4
85,Marseille,1,ReggioEmilia,4,0
85,Bordeaux,1,Newbridge,3,4
86,Marseille,1,ReggioEmilia,4,0
86,Bordeaux,1,Newbridge,3,4
87,Marseille,1,ReggioEmilia,4,0
87,Bordeaux,1,Newbridge,3,4
88,Marseille,1,ReggioEmilia,4,0
88,Bordeaux,1,Newbridge,3,4
89,Marseille,1,ReggioEmilia,4,0
89,Bordeaux,1,Newbridge,3,4
90,Marseille,1,ReggioEmilia,4,0
91,Marseille,1,ReggioEmilia,4,0
92,Marseille,1,ReggioEmilia,4,0
93,Marseille,1,ReggioEmilia,4,0
94,Marseille,1,ReggioEmilia,4,0
95,Saint-Étienne,1,Bochum,2,0
95,Marseille,1,ReggioEmilia,4,3
96,Saint-Étienne,1,Bochum,2,0
96,Marseille,1,ReggioEmilia,4,3
97,Saint-Étienne,1,Bochum,2,0
97,Marseille,1,ReggioEmilia,4,3
98,Saint-Étienne,1,Bochum,2,0
98,Marseille,1,ReggioEmilia,4,3
99,Saint-Étienne,1,Bochum,2,0
99,Marseille,1,ReggioEmilia,4,3
100,Saint-Étienne,1,Bochum,2,0
100,Marseille,1,ReggioEmilia,4,3
101,Saint-Étienne,1,Bochum,2,0
101,Marseille,1,ReggioEmilia,4,3
102,Saint-Étienne,1,Bochum,2,0
102,Marseille,1,ReggioEmilia,4,3
103,Vejle,0,Münster,2,0
103,Marseille,1,ReggioEmilia,4,3
104,Vejle,0,Münster,2,0
104,Marseille,1,ReggioEmilia,4,3
105,Vejle,0,Münster,2,0
105,Marseille,1,ReggioEmilia,4,3
106,Vejle,0,Münster,2,0
106,Marseille,1,ReggioEmilia,4,3
107,Vejle,0,Münster,2,0
107,Berlin,2,Florence,4,3
108,Vejle,0,Münster,2,0
108,Berlin,2,Florence,4,3
109,Vejle,0,Münster,2,0
109,Berlin,2,Florence,4,3
110,Vejle,0,Münster,2,0
110,Berlin,2,Florence,4,3
111,Vejle,0,Münster,2,0
111,Berlin,2,Florence,4,3
112,Vejle,0,Münster,2,0
112,Berlin,2,Florence,4,3
113,Vejle,0,Münster,2,0
113,Berlin,2,Florence,4,3
114,Vejle,0,Münster,2,0
114,Berlin,2,Florence,4,3
115,Vejle,0,Münster,2,0
115,Berlin,2,Florence,4,3
116,Vejle,0,Münster,2,0
116,Berlin,2,Florence,4,3
117,Vejle,0,Münster,2,0
117,Berlin,2,Florence,4,3
118,Vejle,0,Münster,2,0
118,Berlin,2,Florence,4,3
119,Vejle,0,Münster,2,0
119,Berlin,2,Florence,4,3
